I collected and manually labeled 200 examples from r/Games. The dataset was balanced with 50 examples per label to reduce bias during training.
text,label,notes
Xbox CEO says platforms must have exclusive content as exclusivity strategy is reconsidered,Industry_News,Executive interview discussing platform strategy
Tomb Raider: Legacy of Atlantis features AI-assisted assets that were refined by humans,Industry_News,Industry discussion surrounding AI-assisted asset creation
Rockstar Games developers announce union,Industry_News,Labor and unionization news within the game industry
"John Blanche, legendary illustrator who defined the look of Warhammer 40,000, has died",Industry_News,Obituary and industry figure news
"Nearly 70% of Americans play video games for at least an hour each week, new report finds",Industry_News,Industry report on gaming participation statistics
September 2026 became one of the busiest release months in years as publishers try to avoid GTA VI,Industry_News,Industry analysis of release scheduling trends 
"What gameplay mechanics have not reached their full potential in gaming? Players discuss destructible environments, detective systems, editable maps, voice commands, and dynamic AI behavior.",Discussion,Community discussion about game design and gameplay innovation
"Players share redeeming qualities from games they otherwise disliked, discussing memorable environments, soundtracks, characters, and gameplay systems.",Discussion,General gaming discussion focused on positive aspects of poorly received games
"Gamers discuss how developers gathered player feedback before social media through forums, magazines, letters, customer support channels, and early online communities.",Discussion,Historical discussion about game development and player communities
Players debate whether political themes improve games when presented with nuance versus when they are perceived as one-sided messaging or propaganda.,Discussion,"Subjective debate about storytelling, politics, and game writing "
"Sony says PS5 is the most successful PlayStation generation ever, generating $136 billion in sales so far.",Industry_News,Console business performance and PlayStation hardware generation sales 
"Intel 13th and 14th generation CPUs were reported by developers and users to experience instability issues that could cause crashes, out-of-memory errors, and performance problems.",Industry_News,Discussion of Intel CPU instability and hardware reliability
"Warframe developers and other studios reported encountering issues with newer Intel processors, with some cases resolved through BIOS updates.",Industry_News,Developer reports about Intel CPU compatibility
"Community discussion highlighted preservation efforts for Japanese Macintosh games, including abandonware projects that make older titles playable on modern systems.",Discussion,Retro computing and software preservation discussion
"Players discussed AMD's Radeon 9070 XT improving performance over time through driver updates, continuing the 'AMD FineWine' trend.",Industry_News,Graphics card performance improvements through driver support
"Gamers compared AMD FSR4 and NVIDIA DLSS4, with many believing FSR4 significantly improved image quality while still trailing DLSS4 in some scenarios.",Industry_News,Upscaling technology comparison
"VR users expressed concerns that AMD graphics cards still lag behind NVIDIA in VR support, encoder quality, and driver reliability.",Industry_News,Virtual reality hardware discussion
"Community members debated the viability of the Intellivision Amico, with many questioning its target audience, pricing, and ability to compete with modern consoles.",Discussion,Discussion of niche gaming hardware
Many commenters believed the Intellivision Amico was overpriced compared to alternatives such as Nintendo Switch and Xbox Series S.,Industry_News,Consumer reaction to console pricing
"Discussion about ethical sourcing in gaming hardware focused on supply chain transparency, conflict minerals, labor conditions, and corporate responsibility.",Discussion,Gaming hardware manufacturing and ethics discussion
"Nintendo Switch sales were attributed to its hybrid handheld-console design, strong first-party software lineup, and lack of direct competition in the handheld market.",Industry_News,Nintendo Switch hardware market discussion
Players highlighted the Nintendo Switch's portability and built-in multiplayer functionality as major factors behind its popularity.,Industry_News,Nintendo Switch design discussion
Many gamers viewed the Nintendo Switch as a successful evolution of Nintendo's handheld strategy after the decline of the PlayStation Vita.,Industry_News,Handheld gaming hardware discussion
"Sony reported that the PlayStation 5 generated record revenue, leading to debate about whether increased profits reflected popularity, higher prices, digital sales growth, and subscription revenue.",Industry_News,Console market and hardware ecosystem discussion
"Players debated whether the PlayStation 5 generation felt successful despite strong sales, citing limited exclusives, rising prices, and slower technological progress.",Discussion,Community discussion about console generation success
"Many commenters argued that digital sales, subscription services, and microtransactions have become major drivers of console revenue compared to traditional hardware sales.",Industry_News,Discussion of modern console business models 
"Patrick Miller argues that fighting games have survived despite remaining a niche genre because they offer unique competitive experiences, strong local communities, and hobbyist appeal that newer genres cannot fully replace.",Discussion,Opinion piece discussing why fighting games have remained relevant despite limited mainstream popularity
"Discussion about why fighting games remain niche despite continued support from major publishers. Players cite high skill floors, 1v1 competition, local tournament culture, and the psychological challenge of losing as barriers to broader adoption.",Discussion,Community discussion about fighting game accessibility and popularity
"Why Can't Videogames Do Sex? explores why romance and sexuality are often awkward or underdeveloped in games, with players debating whether sexual content enhances storytelling or feels like unnecessary fan service.",Discussion,Opinion discussion about romance and sexual themes in video games
"Why Prince of Persia: The Sands of Time is My Favorite Love Story argues that vulnerability, character development, and natural storytelling made the relationship between the Prince and Farah memorable compared to many modern game romances.",Discussion,Opinion piece discussing storytelling and romance in games
"Why is murder acceptable while rape remains controversial in video games? Players debate whether games are mature enough to tackle sensitive subjects, discussing violence, sexuality, censorship, narrative purpose, and artistic expression.",Discussion,Opinion discussion about controversial themes and morality in video games
"Why gaming still has a women problem examines harassment, sexism, and toxicity in online gaming spaces. Players discuss how anonymity, misogyny, moderation, and community culture affect women's experiences in gaming communities.",Discussion,Opinion discussion about gender issues and online gaming culture 
"Final Fantasy VII - A Literary Analysis discusses whether video games should be examined through the lens of literature, focusing on story structure, themes, character arcs, and the relationship between gameplay and narrative.",Review_Critique,Opinion discussion about games as an artistic and literary medium
"History of Video Game Criticism examines how games have been analyzed over time and explores different approaches to writing about games, criticism, culture, and artistic value.",Review_Critique,Opinion piece discussing video game criticism and analysis 
"TotalBiscuit argues that Planetside 2 should have been delayed due to performance issues, design concerns, optimization problems, and overall lack of polish before launch.",Review_Critique,"Opinion piece and community debate about game quality, release timing, and development priorities "
"Players debated whether Planetside 2 should have been delayed, discussing optimization issues, game balance, launch expectations, and the challenges of releasing large-scale online games.",Discussion,Opinion discussion about release readiness and game development decisions 
"Bloodborne - Commentary and Critique by Joseph Anderson analyzes Bloodborne's boss design, progression systems, difficulty balance, storytelling, and gameplay mechanics while discussing both strengths and flaws of the game.",Review_Critique,Long-form critique and analysis of Bloodborne's design and player experience
"Players debated Joseph Anderson's critique of Bloodborne, discussing boss difficulty, game mechanics, hidden systems, level design, storytelling, and whether the review accurately represented the game's strengths and weaknesses.",Discussion,Community discussion responding to a critical analysis of Bloodborne
"Discussion about changes to Wand (formerly WeMod) introducing a 2-hour daily limit for free users. Community members criticized the move as greedy, debated subscription models for game trainers, and shared alternatives such as Cheat Engine and other free trainer sources.",Discussion,Players expressed negative opinions about monetization changes and discussed alternatives.
"Discussion about whether games should prioritize story or gameplay. Players debated the value of cinematic storytelling, interactive movies, cutscene-heavy games, and whether strong narratives can compensate for weaker gameplay.",Discussion,Community discussion focused on personal preferences regarding story-driven versus gameplay-driven game design.
"Discussion reflecting on Uncharted 4 ten years after release. Players debated its pacing, narrative quality, graphics, combat, and whether it remains one of the best games of its generation.",Review_Critique,Users evaluated the game's strengths and weaknesses while comparing it to other entries in the series.
"Weekly community discussion where players shared impressions of games they recently played, including 007 First Light, Mina the Hollower, Hades II, Dead Space Remake, and others.",Review_Critique,"Contains first-hand evaluations, recommendations, and critiques of specific games."
"Discussion sparked by a video about DOOM running on the Neo Geo. Community members shared opinions, historical context, technical explanations, and personal experiences with Neo Geo hardware.",Discussion,Primarily community discussion and analysis rather than news reporting. 
"Discussion about Steam's updated Workshop browsing interface. Community members compared the new design to the previous version, debating usability, search functionality, filtering options, visual design, performance improvements, and overall user experience.",Discussion,"Players expressed mixed opinions on the redesign, with some praising improved filtering and speed while others preferred the older interface."
"Community discussion where players requested game recommendations based on personal preferences and experiences. Users discussed titles such as Fallout 4, Disco Elysium, 007 First Light, Mount & Blade, and other games while sharing suggestions and opinions.",Discussion,Players exchanged recommendations and discussed why certain games fit specific interests.
"Discussion about the success of the Grand Theft Auto franchise and expectations for Grand Theft Auto VI. Community members debated factors behind GTA V's longevity, online services, live-service support, console generations, and future sales potential.",Discussion,Users shared opinions and predictions regarding Rockstar's strategy and the future success of GTA VI.
"Players shared detailed impressions of games they recently played, including Wind Waker HD, Alan Wake 2, Ratchet and Clank, Mortal Kombat 11, Resident Evil 4, Hades II, Silent Hill 2, and The Adventures of Elliot. Comments evaluated gameplay mechanics, story quality, progression systems, difficulty, and overall enjoyment.",Review_Critique,"Contains first-hand reviews, critiques, and recommendations based on personal gameplay experiences. "
"Discussion about safety concerns involving the Steam Controller charging puck after a user reported nearly starting a fire when a metallic watch strap contacted the charging pins. Community members debated charging puck safety, design risks, and criticized tech journalism's reliance on individual social media posts as news sources.",Discussion,Players discussed hardware safety concerns while also commenting on the quality of modern tech journalism.
"Discussion about IO Interactive's Glacier Engine and the technical presentation of 007 First Light. Community members shared impressions of performance improvements, visual quality, optimization, and expectations ahead of release while debating whether early criticism of the game was justified.",Review_Critique,"Players evaluated gameplay footage, graphics, frame rates, and overall impressions of the upcoming title."
"Community discussion focused on game recommendations and player preferences. Users exchanged suggestions for action RPGs, strategy games, loot-focused games, and combat-heavy titles while explaining why specific games matched requested playstyles.",Discussion,Players provided recommendations and shared personal experiences with various games.
"Discussion surrounding Subnautica 2 reaching four million copies sold in five days. Community members debated the game's success, quality-of-life improvements, Early Access model, comparisons to previous entries, developer compensation, and the advantages and disadvantages of purchasing unfinished games.",Industry_News,"Sales milestone served as the catalyst for broader discussion about Early Access, game development, and player experiences."
"Discussion about games that discourage or punish excessive optimization and min-maxing. Community members shared examples from RPGs, strategy games, simulation games, and survival titles while debating game design philosophies related to player freedom, efficiency, morality systems, and challenge balancing.",Discussion,Players exchanged opinions on how different games encourage experimentation instead of purely optimal play. 
"Players shared detailed impressions of games they recently played, including Amnesia: The Bunker, Clair Obscur: Expedition 33, Breath of the Wild, Forza Horizon 6, Hades 2, Saros, Resident Evil 5, Slay the Spire 2, and other titles. Comments evaluated gameplay, story, combat, pacing, technical performance, and overall enjoyment.",Review_Critique,Weekly gameplay impressions thread with multiple user reviews and critiques.
"Discussion about why modern games can have high-end graphics but still feel held back by floaty or unpolished animations. Community members debated animation quality, responsiveness, realism, motion matching, character weight, and whether gameplay feel should matter more than visual realism.",Discussion,"Design discussion focused on animation polish, game feel, and immersion."
"Discussion about how to define immersive sims as a game genre. Users debated whether the genre should be defined by lineage from System Shock, Thief, and Deus Ex, or by broader systems-based player choice, agency, and world reactivity.",Discussion,Community debate about genre definitions and immersive sim design.
"Community discussion where players requested game recommendations for deep mechanics, simulation games, tactical RPGs, pixel action RPGs, cozy vehicle-based exploration games, and stylized open-world puzzle games.",Discussion,Recommendation thread focused on matching games to specific player preferences.
"Path of Exile 2 Spirit Walker Ascendancy Showcase reveals a new ascendancy and update features for the action RPG. Community members discussed ARPG competition, new player accessibility, build complexity, boss capture mechanics, and comparisons to Diablo 4.",Announcement,Showcase and update announcement with community reaction.
"Players shared detailed impressions of games they recently played, including Slay the Spire, Hollow Knight, Starfield, UFO 50, Wavekin, Pathfinder: Kingmaker, Resident Evil Requiem, Farever, Lies of P, Mass Effect Legendary Edition, Lego Batman, Diablo IV, and Mixtape.",Review_Critique,Weekly gameplay impressions thread with evaluations of multiple games. 
ANOMALITH - Official Announcement Trailer reveals a new title from FuRyu featuring writing by Romeo Tanaka and music by Yuka Kitamura.,Announcement,Official game announcement trailer
"PUNK - Official Announcement Trailer introduces a new indie action game featuring exploration, combat, and ship-based gameplay.",Announcement,Official game announcement trailer
Terminal War - Official Announcement Trailer reveals a multiplayer shooter inspired by The Last of Us Factions.,Announcement,Official game announcement trailer
HAEX - Announcement Trailer showcases a co-op action game with a distinctive visual style and atmospheric setting.,Announcement,Official game announcement trailer
"Beware of the Cartographer! - Official Announcement Trailer reveals a puzzle game centered around cartography, exploration, and drawing borders between rival kingdoms.",Announcement,Official game announcement trailer 
"KKND Series Major Update - Announcement Trailer announces a major update for the classic RTS franchise, prompting nostalgia and discussion among longtime fans.",Announcement,Official update announcement trailer
"Gemini X Announcement Trailer reveals a new Mega Man X-inspired action platformer, generating enthusiasm from fans of the genre.",Announcement,Official game announcement trailer
Attack on Titan 3 Announce Trailer reveals a new installment that will adapt the final chapters of the Attack on Titan story.,Announcement,Official game announcement trailer
"Senua | Official Announce Trailer | Xbox Games Showcase 2026 reveals the next entry in Ninja Theory's Senua series, featuring expanded combat and a new chapter in the character's story.",Announcement,Official game announcement trailer
"War Fantasy - Official Announcement Trailer reveals a psychological horror FPS inspired by Spec Ops: The Line and The Stanley Parable, sparking discussion about war, propaganda, and player agency.",Announcement,Official game announcement trailer
Shot One Fighters - Official Announcement Trailer reveals a roguelite fighting game where players build new movesets and abilities throughout each run.,Announcement,Official game announcement trailer 
JOIN US - Official Xbox Reveal and Date Announce introduces a new cult-themed action game and confirms its release date.,Announcement,Official game reveal and release date announcement
Wild n Chill - Announcement Trailer reveals a relaxing wildlife-themed game from the creators of Cast n Chill.,Announcement,Official game announcement trailer
DIOXIDE - Announcement Trailer reveals a tactical FPS with RPG elements from the developers of Forgive Me Father 2.,Announcement,Official game announcement trailer
Corsair Cove Announcement Trailer reveals a pirate-themed city builder focused on vertical construction and settlement management.,Announcement,Official game announcement trailer
Until Dawn 2 - Announce Trailer reveals a sequel to Until Dawn scheduled for release in 2027.,Announcement,Official game reveal and sequel announcement
FINAL FANTASY RESONANCE Announcement Trailer reveals a standalone RPG adaptation of the Final Fantasy Brave Exvius universe.,Announcement,Official game announcement trailer 
"[Redacted] Review Thread discusses critic impressions of a roguelike shooter set in The Callisto Protocol universe, with praise for its fast-paced gameplay and unique ideas.",Review_Critique,Review thread focused on evaluating gameplay quality and critic reception
"Yakuza Kiwami 2 Review Thread compiles critic reviews praising its story, combat improvements, side content, and remake quality.",Review_Critique,Review thread centered on critical evaluation of the game
"Terra Nil Review Thread highlights critic impressions of the environmental strategy game, praising its relaxing gameplay and ecological themes.",Review_Critique,Review thread focused on game quality and critical reception
"Mewgenics Reviews Thread collects critic evaluations praising its deep roguelike systems, tactical combat, and replayability.",Review_Critique,Review thread centered on extensive critical analysis
"Escape from Ever After Review Thread discusses critic impressions of a Paper Mario-inspired RPG, highlighting its writing, combat, and world design.",Review_Critique,Review thread focused on reviews and gameplay evaluation
"Pokemon Legends: Z-A Review Thread compiles critic opinions on its new battle systems, exploration, and evolution of the Pokemon formula.",Review_Critique,Review thread centered on critical assessment of the game
"Mouse: P.I. For Hire Review Thread gathers critic reviews praising its noir-inspired art style, shooting mechanics, and detective narrative.",Review_Critique,Review thread focused on evaluating game quality and design
"Resident Evil 4 (2023 Remake) Review Thread compiles widespread critical acclaim for its modernized gameplay, visuals, and faithful adaptation of the original.",Review_Critique,Review thread centered on critical evaluation and remake quality 
"Jimmy and the Pulsating Mass Review Thread compiles critic and player praise for its emotional storytelling, EarthBound-inspired design, memorable characters, and strong RPG experience despite some combat limitations.",Review_Critique,"Review thread focused on evaluating game quality, narrative, combat, and overall reception "
"Duck Detective: The Ghost of Glamping Review Thread discusses critic scores and player impressions, with praise for its humor, charm, and mystery-solving while critiquing puzzle flow and progression.",Review_Critique,"Review thread centered on critical evaluation of gameplay, puzzles, and sequel improvements"
"Despelote Review Thread collects critic and community analysis of its autobiographical storytelling, cultural authenticity, atmosphere, and unconventional gameplay structure.",Review_Critique,"Review thread focused on artistic merit, narrative quality, and gameplay evaluation"
"System Shock Remake Review discusses analysis of the remake, highlighting its immersive design, difficulty, atmosphere, navigation challenges, and fidelity to the original game.",Review_Critique,"Retrospective-style review evaluating gameplay systems, design strengths, and weaknesses"
"Phoenix Point Retrospective critiques the game's evolution mechanics, weapon progression, manual aiming system, and strategic design compared to XCOM and similar tactics games.",Review_Critique,Retrospective focused on analyzing gameplay systems and long-term design decisions
"Final Fantasy VII Remake Review Thread compiles critic reviews and player discussion evaluating its combat, presentation, modernization of the classic RPG, and controversial story changes.",Review_Critique,Review thread centered on critical reception and analysis of remake decisions
"Citizen Sleeper Review Thread gathers critic and player impressions praising its writing, worldbuilding, narrative choices, and tabletop-inspired mechanics while noting pacing concerns.",Review_Critique,"Review thread focused on evaluating narrative quality, gameplay systems, and overall experience "
"Lost and Found Co. Review Thread. OpenCritic score of 90 with critics praising its hidden-object gameplay, charming presentation, relaxing progression, and detailed level design.",Review_Critique,Review aggregation summarizing critic opinions
"Immortality Review Thread. OpenCritic score of 90 with critics praising its FMV storytelling, cinematic presentation, mystery narrative, and experimental interactive design.",Review_Critique,Review aggregation summarizing critic opinions
"The Legend of Zelda: Breath of the Wild Review Thread. Critics praised its open-world exploration, player freedom, environmental systems, and influence on modern game design.",Review_Critique,Review aggregation summarizing critic opinions
"BALL x PIT Review Thread. Critics praised its roguelite progression, brick-breaker mechanics, replayability, and addictive gameplay loop while noting some balance concerns.",Review_Critique,Review aggregation summarizing critic opinions
"Final Fantasy XV Review Thread. Critics praised its character relationships, open-world design, and action combat while criticizing story structure and pacing issues.",Review_Critique,Review aggregation summarizing critic opinions
"Trepang2 Review Thread. Critics praised its fast-paced combat, F.E.A.R.-inspired mechanics, enemy encounters, and shooter gameplay while noting some level design weaknesses.",Review_Critique,Review aggregation summarizing critic opinions 
"Dave the Diver Review Thread. Critics praised its blend of fishing, restaurant management, exploration, and charming progression systems while highlighting its creativity and variety.",Review_Critique,Review aggregation summarizing critic opinions
"Anger Foot Review Thread. Critics praised its fast-paced action, stylish presentation, soundtrack, and satisfying combat while criticizing repetition and limited depth.",Review_Critique,Review aggregation summarizing critic opinions
"Gravity Circuit Review Thread. Critics praised its Mega Man-inspired gameplay, level design, combat mechanics, and soundtrack while noting some difficulty spikes.",Review_Critique,Review aggregation summarizing critic opinions
"Karma: The Dark World Review Thread. Critics praised its psychological horror atmosphere, visual presentation, and storytelling while criticizing pacing and gameplay limitations.",Review_Critique,Review aggregation summarizing critic opinions
"Etrange Overlord Review Thread. Critics praised its RPG systems, character interactions, humor, and combat design while noting some balance and pacing concerns.",Review_Critique,Review aggregation summarizing critic opinions
"Against the Storm Review Thread. Critics praised its roguelite city-building mechanics, strategic depth, replayability, and atmosphere while criticizing some progression frustrations.",Review_Critique,Review aggregation summarizing critic opinions
"UNBEATABLE Review Thread. OpenCritic score of 76 with critics praising its soundtrack, visual style, rhythm gameplay, and emotional themes while criticizing story pacing, technical issues, and inconsistent execution.",Review_Critique,Review aggregation summarizing critic opinions 
